City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Nelson Bay,AU,-32.7167,152.15,64.99,70,71,7.0,broken clouds
266,Tromso,NO,69.6496,18.957,35.38,93,100,16.11,overcast clouds
267,Maceio,BR,-9.6658,-35.7353,76.44,100,100,3.44,mist
268,Huangmei,CN,30.1924,116.025,70.56,52,25,4.05,scattered clouds
269,Ahuimanu,US,21.4447,-157.8378,75.2,78,20,14.97,few clouds
270,Tezu,IN,27.9167,96.1667,87.33,34,86,1.59,overcast clouds
271,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.61,99,94,1.52,overcast clouds
272,Mahebourg,MU,-20.4081,57.7,82.69,69,40,8.05,scattered clouds
273,Muros,ES,42.7762,-9.0603,63.68,77,100,2.15,overcast clouds
274,Leningradskiy,RU,69.3833,178.4167,-8.27,100,40,5.75,scattered clouds
275,Iiyama,JP,36.85,138.3667,62.15,95,100,4.25,overcast clouds
276,Teguise,ES,29.0605,-13.564,71.82,60,0,21.85,clear sky
277,Puerto Leguizamo,CO,-0.1934,-74.7819,72.12,99,100,2.01,overcast clouds
278,Severo-Kurilsk,RU,50.6789,156.125,33.17,89,99,16.87,light snow
279,Kumluca,TR,36.3703,30.2869,65.44,53,0,11.68,clear sky
280,Tupik,RU,54.4253,119.9327,43.29,83,92,4.63,overcast clouds
281,Talara,PE,-4.5772,-81.2719,77.88,82,100,8.43,light rain
282,Montreal,CA,45.5088,-73.5878,46.47,92,100,10.36,overcast clouds
283,Krapkowice,PL,50.4752,17.9654,56.48,56,32,11.97,scattered clouds
284,Ugoofaaru,MV,5.6667,73.0,84.38,69,98,4.38,overcast clouds
285,Kununurra,AU,-15.7667,128.7333,85.98,48,30,5.75,scattered clouds
286,Solok,ID,-0.7918,100.6593,75.16,97,100,2.1,moderate rain
287,Batagay-Alyta,RU,67.8006,130.4114,26.6,95,99,1.95,overcast clouds
288,Rio Grande,BR,-32.035,-52.0986,64.87,92,1,11.52,clear sky
289,Sergeyevka,KZ,53.88,67.4158,61.02,22,72,8.63,broken clouds
290,Salalah,OM,17.0151,54.0924,89.69,66,20,16.11,few clouds
291,Misratah,LY,32.3754,15.0925,77.29,39,92,12.86,overcast clouds
292,Kupang,ID,-10.1667,123.5833,84.78,74,20,16.11,few clouds
293,Kharp,RU,66.8014,65.8081,32.81,83,4,3.02,clear sky
294,Torbay,CA,47.6666,-52.7314,35.28,84,40,8.99,scattered clouds
295,Vilhena,BR,-12.7406,-60.1458,70.86,91,92,2.28,overcast clouds
296,Oussouye,SN,12.485,-16.5469,75.38,56,0,7.87,clear sky
297,Skibbereen,IE,51.55,-9.2667,56.1,82,29,11.88,scattered clouds
298,Zgierz,PL,51.8556,19.4062,54.66,49,0,14.97,clear sky
299,Kirakira,SB,-10.4544,161.9205,81.21,86,48,10.56,scattered clouds
300,Onega,RU,63.9061,38.1404,46.08,61,41,9.84,scattered clouds
301,Saint George,US,37.1041,-113.5841,61.39,25,0,4.61,clear sky
302,Dwarka,IN,22.2394,68.9678,83.8,56,4,13.82,clear sky
303,Sibolga,ID,1.7427,98.7792,78.49,91,97,3.51,overcast clouds
304,Coshocton,US,40.272,-81.8596,52.14,96,100,4.45,overcast clouds
305,Saldanha,ZA,-33.0117,17.9442,69.85,54,1,2.91,clear sky
306,Celestun,MX,20.8667,-90.4,75.92,62,95,14.54,overcast clouds
307,Ranong,TH,9.9658,98.6348,76.93,68,100,3.38,overcast clouds
308,Warmbad,NA,-28.45,18.7333,78.69,10,2,9.33,clear sky
309,Khandyga,RU,62.6667,135.6,32.7,99,100,2.19,overcast clouds
310,Contamana,PE,-7.3333,-75.0167,74.95,92,100,0.74,overcast clouds
311,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,86,0,2.3,clear sky
312,Ashqelon,IL,31.6693,34.5715,69.82,55,76,14.18,broken clouds
